family,name,n,wr,net
INTRADAY_1h,LINK#1,2,100.0,4.29
INTRADAY_1h,BNB#1,1,0.0,-0.79
INTRADAY_1h,AVAX#1,8,25.0,-8.15
INTRADAY_1h,XRP#1,5,20.0,-3.83
INTRADAY_1h,ADA#16,4,100.0,5.76
INTRADAY_1h,ETH#1,10,80.0,5.53
IPO_SHORT,SHORT,1,0.0,-5.12
IPO_BREAK,BREAK,1,0.0,-5.793
IPO_BREAK,BREAK,1,100.0,19.88
IPO_BREAK,BREAK,1,100.0,5.645
IPO_BREAK,BREAK,1,100.0,19.88
IPO_BREAK,BREAK,1,100.0,2.873
IPO_BREAK,BREAK,1,100.0,19.88
IPO_DIP,DIP,1,0.0,-0.707
IPO_BREAK,BREAK,1,0.0,-0.12
IPO_BREAK,BREAK,1,100.0,7.223
US_FADE,U1,32,46.9,18.48
US_FADE,U2,33,45.5,19.33
US_FADE,U3,42,33.3,10.88
US_FADE,U4,32,40.6,7.89
US_FADE,U5,32,46.9,11.48
LONG_BOUNCE,L1,12,41.7,3.68
