TF,Rank,Market,Direction,Factors,CL_Trades,CL_Win%,CL_TaxNet%,OP_Trades,OP_Win%,OP_TaxNet%
SWING_1d,4,ADA,SHORT,Price<SMA50+EMA9>EMA20+Range>1.5%,0.0,0.0,0.0,0.0,0.0,0.0
SWING_1d,14,ETH,LONG,Price>SMA50+Range>1.5%+2Red,2.0,100.0,2.94,2.0,100.0,2.94
