Date,Time,Capital,Initial,Return_Pct,Open,Closed,Wins,Losses,Win_Rate,Total_PnL,Cap_INDIAN,Cap_US,Cap_CRYPTO,Cap_INTRADAY,Cap_FADE
2026-07-27,00:00:00 IST,400000.0,400000.0,0.0,0,0,0,0,0.0,0.0,100000.0,100000.0,100000.0,100000.0,
2026-07-28,23:00:00 IST,401258.0,400000.0,0.31,0,1,1,0,100.0,1258.0,100000.0,100000.0,100000.0,101258.0,
2026-07-29,2026-07-29 00:00:00 IST,400260.0,400000.0,0.07,0,2,1,1,50.0,260.0,100000.0,99002.0,100000.0,101258.0,
2026-07-30,2026-07-30 00:00:00 IST,400122.0,400000.0,0.03,0,7,3,4,42.9,122.0,100000.0,100699.0,100000.0,99423.0,
2026-07-31,19:00:00 IST,399407.0,400000.0,-0.15,0,12,5,7,41.7,-593.0,100000.0,100699.0,100000.0,98708.0,
2026-08-01,00:00:00 IST,399313.0,400000.0,-0.17,0,14,6,8,42.9,-687.0,100000.0,100699.0,100000.0,98614.0,
2026-08-03,2026-08-03 00:00:00 IST,404789.0,400000.0,1.2,0,24,15,9,62.5,4789.0,100000.0,99776.0,100000.0,105013.0,
2026-08-04,20:00:00 IST,412297.0,400000.0,3.07,1,30,21,9,70.0,12297.0,100000.0,99776.0,100000.0,112522.0,
2026-08-05,11:36:29 IST,412297.0,400000.0,3.07,5,30,21,9,70.0,12297.0,100000.0,99776.0,100000.0,112522.0,
2026-08-06,01:17:34 IST,413911.0,400000.0,3.48,13,33,22,10,68.8,13911.0,100000.0,101755.0,100000.0,112156.0,
2026-08-07,05:40:19 IST,410316.0,400000.0,2.58,12,39,22,16,57.9,10316.0,100000.0,99149.0,99954.0,111213.0,
2026-08-08,00:37:36 IST,410316.0,400000.0,2.58,13,39,22,16,57.9,10316.0,100000.0,99149.0,99954.0,111213.0,
2026-08-09,08:29:23 IST,410299.0,400000.0,2.57,12,40,22,17,56.4,10299.0,100000.0,99149.0,99954.0,111196.0,
2026-08-10,08:38:43 IST,410299.0,400000.0,2.57,12,40,22,17,56.4,10299.0,100000.0,99149.0,99954.0,111196.0,
2026-08-11,00:37:20 IST,411646.0,400000.0,2.91,13,44,25,18,58.1,11646.0,100000.0,100487.0,99964.0,111196.0,
2026-08-12,00:43:30 IST,380039.0,400000.0,-4.99,13,62,28,33,45.9,-19961.0,100000.0,100805.0,99964.0,79270.0,
2026-08-13,00:21:55 IST,480466.0,500000.0,-3.91,14,66,31,34,47.7,-19534.0,100000.0,101232.0,99964.0,79270.0,100000.0
2026-08-14,08:53:34 IST,676221.0,700000.0,-3.4,14,79,35,43,44.9,-23779.0,100000.0,101232.0,99964.0,79163.0,95861.0
2026-08-15,00:34:46 IST,675374.0,700000.0,-3.52,14,93,39,53,42.4,-24626.0,100000.0,101232.0,99964.0,79163.0,95014.0
2026-08-16,07:48:51 IST,777184.0,800000.0,-2.85,15,98,43,54,44.3,-22816.0,100000.0,103038.0,99968.0,79163.0,95014.0
2026-08-17,07:49:07 IST,777806.0,800000.0,-2.77,14,102,45,56,44.6,-22194.0,100000.0,103660.0,99968.0,79163.0,95014.0
2026-08-18,00:25:04 IST,778016.0,800000.0,-2.75,14,126,56,69,44.8,-21984.0,100000.0,103909.0,99968.0,78530.0,94530.0
2026-08-18,15:22:59 IST,804457.0,800000.0,0.56,19,123,58,64,47.5,4457.0,100000.0,103909.0,99968.0,111089.0,88411.0
2026-08-18,15:33:05 IST,803544.0,800000.0,0.44,15,127,59,67,46.8,3544.0,100000.0,103909.0,99968.0,111089.0,87498.0
2026-08-18,15:41:38 IST,803544.0,800000.0,0.44,15,127,59,67,46.8,3544.0,100000.0,103909.0,99968.0,111089.0,87498.0
2026-08-18,16:18:47 IST,803544.0,800000.0,0.44,15,127,59,67,46.8,3544.0,100000.0,103909.0,99968.0,111089.0,87498.0
2026-08-18,16:43:07 IST,803544.0,800000.0,0.44,15,127,59,67,46.8,3544.0,100000.0,103909.0,99968.0,111089.0,87498.0
2026-08-18,18:33:48 IST,803544.0,800000.0,0.44,16,127,59,67,46.8,3544.0,100000.0,103909.0,99968.0,111089.0,87498.0
2026-08-18,18:53:40 IST,803544.0,800000.0,0.44,16,127,59,67,46.8,3544.0,100000.0,103909.0,99968.0,111089.0,87498.0
2026-08-18,19:35:03 IST,801501.0,800000.0,0.19,14,121,55,66,45.5,1501.0,100000.0,101821.0,99968.0,109138.0,89495.0
2026-08-18,19:36:14 IST,801501.0,800000.0,0.19,14,121,55,66,45.5,1501.0,100000.0,101821.0,99968.0,109138.0,89495.0
2026-08-18,20:33:29 IST,799922.0,800000.0,-0.01,12,123,55,68,44.7,-78.0,100000.0,100778.0,99968.0,108602.0,89495.0
2026-08-18,21:24:56 IST,799309.0,800000.0,-0.09,11,124,55,69,44.4,-691.0,100000.0,100165.0,99968.0,108602.0,89495.0
2026-08-18,22:28:15 IST,799309.0,800000.0,-0.09,12,124,55,69,44.4,-691.0,100000.0,100165.0,99968.0,108602.0,89495.0
2026-08-19,00:23:08 IST,799309.0,800000.0,-0.09,18,124,55,69,44.4,-691.0,100000.0,100165.0,99968.0,108602.0,89495.0
2026-08-19,00:36:10 IST,799309.0,800000.0,-0.09,18,124,55,69,44.4,-691.0,100000.0,100165.0,99968.0,108602.0,89495.0
2026-08-19,01:20:10 IST,799309.0,800000.0,-0.09,18,124,55,69,44.4,-691.0,100000.0,100165.0,99968.0,108602.0,89495.0
