Date,Time_IST,Mode,Ticker,Direction,TimeFrame,Entry_Price,Qty,SL,Target,MaxHold,Exit_Price,Exit_Time,P&L,P&L_%,Status,Pattern_Rank,Expected_WinRate,Pattern_Factors,Reason,Signal_Indicators
2026-08-05,02:17:34 IST,US,XLF,SHORT,INTRADAY_1h,57.86,1513,58.44,56.7,6,58.09,01:17:17 IST,-365.5,-0.42,CLOSED,38,60.47,RSI>65+2Red,#38ID RSI>65+2Red | Expiry 6h,"{""High"": 57.98, ""Low"": 57.855, ""Volume"": 7199102.0, ""SMA20"": 57.388985, ""Open"": 57.93, ""SMA50"": 57.139006, ""EMA9"": 57.738724, ""EMA50"": 57.115787, ""Ret"": -0.001295, ""2Red"": 1.0, ""EMA20"": 57.484915, ""Close"": 57.860001, ""RSI14"": 66.919848}"
2026-08-05,15:13:11 IST,US,XLC,LONG,SWING_1d,112.04,445,109.8,116.52,5,111.24,2026-08-10 15:13:13 IST,-366.47,-0.74,CLOSED,1,51.27,Price>EMA9+SMA20<SMA50,#1SW Price>EMA9+SMA20<SMA50 | Expiry 5d,"{""Open"": 110.535004, ""2Red"": 0.0, ""Low"": 110.449997, ""EMA50"": 110.741683, ""High"": 112.275002, ""Volume"": 5461000.0, ""Close"": 112.040001, ""SMA20"": 109.904, ""SMA50"": 110.6454, ""EMA9"": 109.631131, ""Ret"": 0.006287, ""RSI14"": 56.24047, ""EMA20"": 109.618887}"
2026-08-12,00:43:12 IST,US,XLY,LONG,SWING_1d,119.31,420,116.91,124.07,5,118.2,2026-08-17 00:56:07 IST,-476.99,-0.95,CLOSED,5,51.85,2Red+EMA20>EMA50+Price>SMA50,#5SW 2Red+EMA20>EMA50+Price>SMA50 | Expiry 5d,"{""Volume"": 2595033.0, ""BB_lo"": 108.393809, ""SMA20"": 115.34625, ""high20"": 120.440002, ""low20"": 108.290001, ""low50"": 108.290001, ""High"": 119.959999, ""2Red"": 1.0, ""RSI14"": 60.048627, ""high50"": 122.18, ""SMA50"": 115.9343, ""2Green"": 0.0, ""Open"": 119.669998, ""EMA200"": 115.677763, ""EMA50"": 116.160514, ""BB_hi"": 122.29869, ""Low"": 119.114998, ""EMA9"": 117.845323, ""Ret"": -0.003134, ""Close"": 119.294998, ""EMA20"": 116.511814}"
2026-08-18,00:20:52 IST,US,XLY,LONG,SWING_1d,116.76,442,114.41,121.41,5,117.99,2026-08-23 00:57:48 IST,532.54,1.03,CLOSED,5,51.85,2Red+EMA20>EMA50+Price>SMA50,#5SW 2Red+EMA20>EMA50+Price>SMA50 | Expiry 5d,"{""2Green"": 0.0, ""BB_lo"": 108.49511, ""BB_hi"": 122.881389, ""EMA50"": 116.401473, ""SMA50"": 115.9635, ""high20"": 120.440002, ""low50"": 108.290001, ""Open"": 117.959999, ""Volume"": 3562102.0, ""2Red"": 1.0, ""EMA200"": 115.799748, ""RSI14"": 50.297632, ""low20"": 108.290001, ""Ret"": -0.01231, ""EMA20"": 116.924295, ""high50"": 120.440002, ""Low"": 116.494102, ""Close"": 116.745003, ""EMA9"": 117.759474, ""SMA20"": 115.68825, ""High"": 117.959999}"
