Price,Adj Close,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Datetime,,,,,,
2026-07-17 03:45:00+00:00,2253.300048828125,2253.300048828125,2253.5,2224.699951171875,2224.699951171875,0
2026-07-17 03:46:00+00:00,2249.39990234375,2249.39990234375,2255.39990234375,2243.60009765625,2252.699951171875,109677
2026-07-17 03:47:00+00:00,2252.10009765625,2252.10009765625,2256.300048828125,2247.699951171875,2247.699951171875,90611
2026-07-17 03:48:00+00:00,2249.5,2249.5,2252.800048828125,2249.39990234375,2252.60009765625,32711
2026-07-17 03:49:00+00:00,2248.0,2248.0,2251.699951171875,2247.5,2250.60009765625,43909
2026-07-17 03:50:00+00:00,2246.39990234375,2246.39990234375,2251.10009765625,2246.0,2248.199951171875,36979
2026-07-17 03:51:00+00:00,2242.0,2242.0,2246.89990234375,2241.699951171875,2246.89990234375,41217
2026-07-17 03:52:00+00:00,2242.0,2242.0,2243.60009765625,2241.0,2242.0,25638
2026-07-17 03:53:00+00:00,2242.0,2242.0,2243.0,2242.0,2242.0,10755
2026-07-17 03:54:00+00:00,2248.0,2248.0,2252.0,2242.60009765625,2242.60009765625,43404
2026-07-17 03:55:00+00:00,2245.10009765625,2245.10009765625,2251.5,2245.0,2248.300048828125,31622
2026-07-17 03:56:00+00:00,2238.10009765625,2238.10009765625,2246.300048828125,2237.199951171875,2245.300048828125,28036
2026-07-17 03:57:00+00:00,2235.0,2235.0,2239.0,2234.89990234375,2238.5,29630
2026-07-17 03:58:00+00:00,2237.0,2237.0,2237.699951171875,2232.0,2234.0,17513
2026-07-17 03:59:00+00:00,2233.199951171875,2233.199951171875,2237.39990234375,2232.60009765625,2237.39990234375,14527
2026-07-17 04:00:00+00:00,2234.0,2234.0,2237.60009765625,2233.5,2233.5,11309
2026-07-17 04:01:00+00:00,2232.89990234375,2232.89990234375,2235.300048828125,2231.0,2234.199951171875,17033
2026-07-17 04:02:00+00:00,2234.0,2234.0,2235.300048828125,2232.0,2232.89990234375,14056
2026-07-17 04:03:00+00:00,2233.0,2233.0,2234.0,2231.300048828125,2233.800048828125,6625
2026-07-17 04:04:00+00:00,2232.89990234375,2232.89990234375,2234.39990234375,2232.199951171875,2233.0,8787
2026-07-17 04:05:00+00:00,2235.800048828125,2235.800048828125,2236.0,2232.0,2233.0,11420
2026-07-17 04:06:00+00:00,2236.800048828125,2236.800048828125,2237.699951171875,2234.10009765625,2236.0,17574
2026-07-17 04:07:00+00:00,2239.10009765625,2239.10009765625,2240.300048828125,2236.10009765625,2237.300048828125,18514
2026-07-17 04:08:00+00:00,2237.199951171875,2237.199951171875,2238.60009765625,2236.0,2238.5,8906
2026-07-17 04:09:00+00:00,2235.39990234375,2235.39990234375,2239.0,2235.39990234375,2237.0,9155
2026-07-17 04:10:00+00:00,2238.5,2238.5,2238.800048828125,2235.300048828125,2235.300048828125,8271
2026-07-17 04:11:00+00:00,2237.60009765625,2237.60009765625,2240.0,2237.39990234375,2238.0,9246
2026-07-17 04:12:00+00:00,2235.89990234375,2235.89990234375,2238.699951171875,2235.300048828125,2237.60009765625,8653
2026-07-17 04:13:00+00:00,2236.0,2236.0,2237.5,2235.699951171875,2236.60009765625,6715
2026-07-17 04:14:00+00:00,2237.39990234375,2237.39990234375,2239.60009765625,2235.5,2236.10009765625,7228
2026-07-17 04:15:00+00:00,2238.89990234375,2238.89990234375,2239.199951171875,2236.60009765625,2238.0,4799
2026-07-17 04:16:00+00:00,2234.0,2234.0,2239.0,2232.60009765625,2238.699951171875,16300
2026-07-17 04:17:00+00:00,2230.199951171875,2230.199951171875,2234.0,2230.0,2234.0,16809
2026-07-17 04:18:00+00:00,2229.10009765625,2229.10009765625,2230.800048828125,2228.10009765625,2230.0,14716
2026-07-17 04:19:00+00:00,2231.10009765625,2231.10009765625,2231.199951171875,2228.5,2229.10009765625,8108
2026-07-17 04:20:00+00:00,2231.199951171875,2231.199951171875,2233.5,2230.10009765625,2230.10009765625,6279
2026-07-17 04:21:00+00:00,2231.5,2231.5,2233.0,2231.10009765625,2232.0,5026
2026-07-17 04:22:00+00:00,2232.199951171875,2232.199951171875,2233.0,2232.0,2232.10009765625,2668
2026-07-17 04:23:00+00:00,2232.5,2232.5,2234.0,2232.0,2232.300048828125,4914
2026-07-17 04:24:00+00:00,2238.0,2238.0,2238.800048828125,2232.39990234375,2232.39990234375,15050
2026-07-17 04:25:00+00:00,2239.39990234375,2239.39990234375,2239.89990234375,2237.300048828125,2237.300048828125,11959
2026-07-17 04:26:00+00:00,2240.800048828125,2240.800048828125,2242.39990234375,2239.0,2239.5,31615
2026-07-17 04:27:00+00:00,2238.699951171875,2238.699951171875,2242.0,2238.300048828125,2240.800048828125,17190
2026-07-17 04:28:00+00:00,2231.0,2231.0,2238.0,2231.0,2238.0,29976
2026-07-17 04:29:00+00:00,2233.5,2233.5,2234.199951171875,2231.0,2231.5,4324
2026-07-17 04:30:00+00:00,2233.800048828125,2233.800048828125,2234.800048828125,2233.5,2234.5,3500
2026-07-17 04:31:00+00:00,2230.199951171875,2230.199951171875,2235.0,2230.0,2233.699951171875,17511
2026-07-17 04:32:00+00:00,2230.10009765625,2230.10009765625,2233.39990234375,2229.89990234375,2230.699951171875,13328
2026-07-17 04:33:00+00:00,2227.39990234375,2227.39990234375,2231.10009765625,2227.199951171875,2230.300048828125,12789
2026-07-17 04:34:00+00:00,2227.0,2227.0,2228.60009765625,2226.199951171875,2228.5,12133
