symbol
AAPL
ABBV
ABNB
ADBE
ADI
ADSK
AEP
ALGN
AMD
AMGN
AMT
AMZN
APP
ARM
AVGO
BA
BAC
BIIB
BKNG
BKR
BRK-B
CAT
CCI
CDNS
CHTR
CL
CMCSA
COIN
COP
COST
CPRT
CRWD
CSCO
CSX
CTAS
CTSH
CVX
DASH
DDOG
DE
DIA
DIS
DKNG
EA
EXC
FAST
FDX
FTNT
GFS
GILD
GOOG
GOOGL
GS
HD
HON
HOOD
ILMN
INTC
INTU
ISRG
IWM
JNJ
JPM
KDP
KHC
KLAC
KO
LMT
LOW
LRCX
MAR
MCD
MDLZ
META
MNST
MRK
MRVL
MS
MSFT
MSTR
NET
NFLX
NKE
NOC
NOW
NVDA
NXPI
ODFL
ORLY
PANW
PAYX
PCAR
PEP
PFE
PG
PLD
PLTR
QCOM
QQQ
RBLX
REGN
RIVN
ROST
RTX
SBUX
SHOP
SIRI
SLB
SMCI
SNPS
SPG
T
TEAM
TGT
TSLA
TTD
TXN
UBER
UNH
UPS
VRSK
VRTX
VZ
WDAY
WFC
WMT
XEL
XOM
ZS
